phi,CH4,O2,N2,CO2,H2O,CH4prod,O2prod,y.CH4,y.O2,y.N2,y.CO2prod,y.H2Oprod,y.CH4prod,y.O2prod,y.N2prod
0.1,1,20,75.2,1,2,0,18,0.01039501,0.207900208,0.781704782,0.01039501,0.020790021,0,0.187110187,0.781704782
0.25,1,8,30.08,1,2,0,6,0.025588536,0.204708291,0.769703173,0.025588536,0.051177073,0,0.153531218,0.769703173
0.4,1,5,18.8,1,2,0,3,0.040322581,0.201612903,0.758064516,0.040322581,0.080645161,0,0.120967742,0.758064516
0.5,1,4,15.04,1,2,0,2,0.0499002,0.199600798,0.750499002,0.0499002,0.099800399,0,0.099800399,0.750499002
0.6,1,3.333333333,12.53333333,1,2,0,1.333333333,0.059288538,0.197628458,0.743083004,0.059288538,0.118577075,0,0.079051383,0.743083004
0.7,1,2.857142857,10.74285714,1,2,0,0.857142857,0.068493151,0.195694716,0.735812133,0.068493151,0.136986301,0,0.058708415,0.735812133
0.8,1,2.5,9.4,1,2,0,0.5,0.07751938,0.19379845,0.728682171,0.07751938,0.15503876,0,0.03875969,0.728682171
0.9,1,2.222222222,8.355555556,1,2,0,0.222222222,0.086372361,0.19193858,0.72168906,0.086372361,0.172744722,0,0.019193858,0.72168906
0.95,1,2.105263158,7.915789474,1,2,0,0.105263158,0.090735435,0.191021968,0.718242598,0.090735435,0.181470869,0,0.009551098,0.718242598
0.975,1,2.051282051,7.712820513,1,2,0,0.051282051,0.092901382,0.190566937,0.716531682,0.092901382,0.185802763,0,0.004764173,0.716531682
0.999,1,2.002002002,7.527527528,1,2,0,0.002002002,0.094971005,0.190132142,0.714896853,0.094971005,0.18994201,0,0.000190132,0.714896853
1,1,2,7.52,1,2,0,0,0.095057034,0.190114068,0.714828897,0.095057034,0.190114068,0,0,0.714828897
1.001,1,1.998001998,7.512487512,0.999000999,1.998001998,0.000999001,0,0.095143047,0.190095998,0.714760954,0.095047999,0.190095998,9.5048E-05,0,0.714760954
1.025,1,1.951219512,7.336585366,0.975609756,1.951219512,0.024390244,0,0.097202466,0.189663348,0.713134187,0.094831674,0.189663348,0.002370792,0,0.713134187
1.05,1,1.904761905,7.161904762,0.952380952,1.904761905,0.047619048,0,0.099337748,0.189214759,0.711447493,0.094607379,0.189214759,0.004730369,0,0.711447493
1.1,1,1.818181818,6.836363636,0.909090909,1.818181818,0.090909091,0,0.103578154,0.188323917,0.708097928,0.094161959,0.188323917,0.009416196,0,0.708097928
1.2,1,1.666666667,6.266666667,0.833333333,1.666666667,0.166666667,0,0.111940299,0.186567164,0.701492537,0.093283582,0.186567164,0.018656716,0,0.701492537
1.3,1,1.538461538,5.784615385,0.769230769,1.538461538,0.230769231,0,0.120147874,0.184842884,0.695009242,0.092421442,0.184842884,0.027726433,0,0.695009242
1.4,1,1.428571429,5.371428571,0.714285714,1.428571429,0.285714286,0,0.128205128,0.183150183,0.688644689,0.091575092,0.183150183,0.036630037,0,0.688644689
1.5,1,1.333333333,5.013333333,0.666666667,1.333333333,0.333333333,0,0.136116152,0.181488203,0.682395644,0.090744102,0.181488203,0.045372051,0,0.682395644
1.75,1,1.142857143,4.297142857,0.571428571,1.142857143,0.428571429,0,0.155279503,0.177462289,0.667258208,0.088731145,0.177462289,0.066548358,0,0.667258208
2,1,1,3.76,0.5,1,0.5,0,0.173611111,0.173611111,0.652777778,0.086805556,0.173611111,0.086805556,0,0.652777778
2.5,1,0.8,3.008,0.4,0.8,0.6,0,0.207986689,0.166389351,0.62562396,0.083194676,0.166389351,0.124792013,0,0.62562396
3,1,0.666666667,2.506666667,0.333333333,0.666666667,0.666666667,0,0.239616613,0.159744409,0.600638978,0.079872204,0.159744409,0.159744409,0,0.600638978
3.5,1,0.571428571,2.148571429,0.285714286,0.571428571,0.714285714,0,0.268817204,0.153609831,0.577572965,0.076804916,0.153609831,0.192012289,0,0.577572965
4,1,0.5,1.88,0.25,0.5,0.75,0,0.295857988,0.147928994,0.556213018,0.073964497,0.147928994,0.221893491,0,0.556213018
